ID,x_cen,y_cen,Cluster
778,368,322,1
779,632,279,0
780,942,258,6
781,204,311,4
782,157,341,4
783,1277,287,5
784,1683,243,2
785,368,322,1
786,631,279,0
787,941,258,6
788,205,313,4
789,1277,287,5
790,1683,243,2
791,366,321,1
792,631,278,0
793,941,258,6
794,204,313,4
795,37,339,3
796,147,181,-1
797,1277,287,5
798,1683,243,2
799,629,278,0
800,367,322,1
801,941,258,6
802,203,312,4
803,149,180,-1
804,1277,287,5
805,1683,242,2
806,368,322,1
807,942,258,6
808,632,279,0
809,206,312,4
810,147,181,-1
811,156,341,4
812,1277,287,5
813,358,321,1
814,1683,243,2
815,631,278,0
816,942,259,6
817,156,341,4
818,148,182,-1
819,1277,287,5
820,367,322,1
821,630,278,0
822,1683,243,2
823,942,259,6
824,204,313,4
825,156,341,4
826,37,339,3
827,148,182,-1
828,1277,287,5
829,1683,243,2
830,367,322,1
831,629,278,0
832,941,259,6
833,204,312,4
834,37,338,3
835,147,182,-1
836,1277,287,5
837,368,322,1
838,1683,243,2
839,631,278,0
840,942,259,6
841,204,313,4
842,147,182,-1
843,157,341,4
844,37,338,3
845,1277,287,5
846,1683,243,2
847,361,322,1
848,630,278,0
849,942,258,6
850,205,313,4
851,147,181,-1
852,1277,287,5
853,1683,243,2
854,368,321,1
855,632,277,0
856,941,259,6
857,205,313,4
858,147,181,-1
859,56,243,3
860,1277,287,5
861,1683,243,2
862,366,322,1
863,629,279,0
864,941,258,6
865,205,313,4
866,37,338,3
867,146,182,-1
868,1277,287,5
869,1683,243,2
870,367,321,1
871,629,278,0
872,942,259,6
873,204,313,4
874,148,181,-1
875,56,239,3
876,1276,287,5
877,1682,243,2
878,366,323,1
879,625,279,0
880,205,314,4
881,942,259,6
882,1276,287,5
883,1682,243,2
884,367,322,1
885,631,279,0
886,204,312,4
887,942,259,6
888,36,337,3
889,1276,287,5
890,366,322,1
891,1683,243,2
892,629,279,0
893,205,313,4
894,942,258,6
895,36,336,3
896,1276,287,5
897,1682,243,2
898,366,321,1
899,630,277,0
900,205,312,4
901,942,259,6
902,148,181,-1
903,1275,288,5
904,1681,243,2
905,366,322,1
906,943,258,6
907,625,279,0
908,205,313,4
909,1276,287,5
910,366,321,1
911,630,277,0
912,1682,243,2
913,942,258,6
914,204,312,4
915,1277,287,5
916,365,322,1
917,631,279,0
918,1683,243,2
919,942,259,6
920,204,313,4
921,1276,287,5
922,1682,243,2
923,367,322,1
924,629,279,0
925,204,313,4
926,942,259,6
927,151,182,-1
928,55,239,3
929,1276,287,5
930,367,322,1
931,1682,244,2
932,632,278,0
933,942,259,6
934,204,312,4
935,55,243,3
936,36,337,3
937,1277,287,5
938,1683,243,2
939,367,322,1
940,631,279,0
941,941,258,6
942,204,312,4
943,146,181,-1
944,36,337,3
945,55,240,3
946,1277,288,5
947,365,322,1
948,1683,243,2
949,631,279,0
950,941,259,6
951,204,312,4
952,148,182,-1
953,1277,287,5
954,368,322,1
955,1683,243,2
956,631,281,0
957,942,259,6
958,204,314,4
959,1277,288,5
960,368,322,1
961,1683,244,2
962,941,259,6
963,628,280,0
964,205,314,4
965,1277,288,5
966,370,323,1
967,1683,243,2
968,630,279,0
969,942,259,6
970,205,313,4
971,1277,287,5
972,369,322,1
973,1683,243,2
974,941,259,6
975,204,313,4
976,630,279,0
977,149,183,-1
978,1276,288,5
979,1683,242,2
980,368,322,1
981,631,279,0
982,942,259,6
983,149,182,-1
984,205,315,4
985,55,299,3
986,1277,287,5
987,1683,243,2
988,368,322,1
989,630,277,0
990,941,259,6
991,156,341,4
992,146,181,-1
993,56,296,3
994,1277,287,5
995,1683,243,2
996,631,278,0
997,366,322,1
998,941,259,6
999,204,313,4
1000,157,341,4
1001,147,182,-1
1002,1277,287,5
1003,1683,243,2
1004,368,323,1
1005,632,278,0
1006,942,259,6
1007,205,313,4
1008,156,341,4
1009,148,182,-1
1010,1277,287,5
1011,1683,243,2
1012,367,322,1
1013,631,279,0
1014,942,258,6
1015,205,313,4
1016,148,182,-1
1017,56,298,3
1018,1277,287,5
1019,367,323,1
1020,1683,243,2
1021,628,279,0
1022,942,259,6
1023,205,312,4
1024,147,181,-1
1025,1278,287,5
1026,366,323,1
1027,1683,243,2
1028,632,280,0
1029,942,258,6
1030,156,342,4
1031,148,182,-1
1032,56,299,3
1033,1277,287,5
1034,1683,243,2
1035,368,323,1
1036,630,279,0
1037,942,258,6
1038,205,312,4
1039,56,296,3
1040,146,182,-1
1041,156,341,4
1042,1278,287,5
1043,1683,243,2
1044,368,323,1
1045,631,278,0
1046,942,259,6
1047,156,342,4
1048,111,283,3
1049,147,182,-1
1050,205,313,4
1051,1277,287,5
1052,1683,243,2
1053,632,279,0
1054,942,259,6
1055,366,323,1
1056,147,181,-1
1057,57,300,3
1058,156,341,4
1059,1277,287,5
